船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,12.48,21.26,6.57,20,55597.41,0.95,1.18
Bulk Carrier,12.5,23.72,4.42,296,68106.31,0.91,1.14
Bulk Carrier,12.52,25.37,5.64,20,73921.2,0.91,1.14
Bulk Carrier,12.54,23.52,4.47,180,66341.77,0.92,1.15
Bulk Carrier,12.55,22.96,1.61,5,69549.8,0.88,1.1
Bulk Carrier,12.56,22.88,8.05,25,75295.92,0.91,1.14
Bulk Carrier,12.57,24.92,2.42,9,71734.0,0.9,1.13
Bulk Carrier,12.58,22.99,6.1,145,69166.85,0.92,1.15
Bulk Carrier,12.59,22.67,1.25,10,71056.0,0.86,1.09
Bulk Carrier,12.6,22.79,5.69,110,68502.17,0.91,1.15
Bulk Carrier,12.61,24.6,2.07,6,72545.5,0.98,1.23
Bulk Carrier,12.62,20.8,8.75,8,68275.25,0.92,1.17
Bulk Carrier,12.63,23.09,5.06,136,67191.23,0.91,1.14
Bulk Carrier,12.64,24.79,3.33,23,66917.39,0.95,1.21
Bulk Carrier,12.65,20.1,8.97,7,68667.86,0.87,1.1
Bulk Carrier,12.66,22.41,2.03,10,66116.9,0.88,1.11
Bulk Carrier,12.67,23.28,5.31,125,66553.26,0.92,1.16
Bulk Carrier,12.68,22.23,8.02,11,69956.09,0.95,1.2
Bulk Carrier,12.69,18.83,10.66,5,69373.0,0.88,1.12
Bulk Carrier,12.7,24.65,3.43,85,68610.62,0.92,1.17
Bulk Carrier,12.71,23.21,5.03,126,69711.75,0.91,1.16
Bulk Carrier,12.72,24.43,1.9,13,63883.85,0.93,1.18
Bulk Carrier,12.73,25.12,0.84,5,63091.8,0.94,1.2
Bulk Carrier,12.74,23.98,1.15,5,74674.8,0.85,1.08
Bulk Carrier,12.75,23.99,4.95,122,72610.46,0.89,1.14
Bulk Carrier,12.76,21.74,3.08,9,50711.22,0.95,1.21
Bulk Carrier,12.79,24.29,5.37,122,71282.96,0.9,1.15
Bulk Carrier,12.8,24.82,4.85,109,71963.85,0.92,1.18
Bulk Carrier,12.83,24.12,4.6,114,68945.3,0.91,1.16
Bulk Carrier,12.84,26.56,6.9,23,87792.39,0.93,1.19
Bulk Carrier,12.85,23.47,2.43,10,60502.9,0.88,1.13
Bulk Carrier,12.86,19.46,11.62,5,65176.6,0.85,1.09
Bulk Carrier,12.87,23.43,1.68,12,62872.58,0.88,1.13
Bulk Carrier,12.88,23.7,6.25,127,70919.33,0.91,1.17
Bulk Carrier,12.9,22.69,5.42,77,67199.22,0.89,1.15
Bulk Carrier,12.92,23.56,4.65,119,67458.78,0.91,1.17
Bulk Carrier,12.96,23.86,5.68,123,71978.79,0.9,1.17
Bulk Carrier,13.0,23.98,5.03,201,70694.32,0.91,1.18
Bulk Carrier,13.01,24.26,0.81,5,74955.2,0.88,1.14
Bulk Carrier,13.02,26.15,2.43,7,67609.57,0.87,1.13
Bulk Carrier,13.04,24.42,4.16,88,71668.96,0.89,1.16
Bulk Carrier,13.08,23.04,7.54,96,73224.19,0.89,1.16
Bulk Carrier,13.1,25.02,4.94,34,70097.41,0.92,1.21
Bulk Carrier,13.12,25.67,3.88,25,73317.48,0.93,1.22
Bulk Carrier,13.13,23.77,3.31,66,65277.89,0.9,1.18
Bulk Carrier,13.16,23.12,5.99,20,64353.5,0.9,1.19
Bulk Carrier,13.17,24.32,5.99,73,70481.73,0.9,1.18
Bulk Carrier,13.2,24.36,4.03,65,59804.66,0.91,1.2
Bulk Carrier,13.21,24.14,3.24,58,66234.24,0.89,1.17
Bulk Carrier,13.24,26.66,11.59,11,85977.45,0.88,1.16
Bulk Carrier,13.25,23.45,5.46,84,66506.58,0.89,1.18
Bulk Carrier,13.28,27.29,7.62,13,87355.54,0.88,1.17
Bulk Carrier,13.29,23.83,3.79,61,66678.25,0.88,1.17
Bulk Carrier,13.3,23.71,5.02,66,64461.12,0.92,1.22
Bulk Carrier,13.32,26.34,4.99,8,59256.25,0.94,1.26
Bulk Carrier,13.33,23.84,4.29,63,66531.57,0.9,1.2
Bulk Carrier,13.36,26.05,5.06,6,48796.33,0.95,1.27
Bulk Carrier,13.37,23.12,3.06,8,66369.0,0.87,1.16
Bulk Carrier,13.38,24.06,2.54,51,63474.8,0.91,1.22
Bulk Carrier,13.4,25.5,5.44,55,72171.91,0.91,1.22
Bulk Carrier,13.42,24.73,3.8,61,69237.25,0.9,1.21
Bulk Carrier,13.44,28.42,6.34,13,73605.38,0.94,1.27
Bulk Carrier,13.45,22.3,10.76,7,56710.86,0.87,1.17
Bulk Carrier,13.46,24.75,4.18,49,66849.14,0.92,1.24
Bulk Carrier,13.48,26.05,3.05,15,63997.0,0.93,1.25
Bulk Carrier,13.5,24.28,2.62,122,64041.03,0.91,1.22
Bulk Carrier,13.52,21.38,8.13,9,66483.97,0.88,1.19
Bulk Carrier,13.54,24.72,3.01,43,64746.95,0.9,1.21
Bulk Carrier,13.58,24.96,2.31,51,63889.39,0.91,1.24
Bulk Carrier,13.6,25.11,2.71,34,65567.44,0.92,1.25
Bulk Carrier,13.62,25.94,1.75,5,75670.2,0.85,1.16
Bulk Carrier,13.63,24.98,4.75,42,69651.74,0.9,1.22
Bulk Carrier,13.64,25.38,4.29,6,58247.0,0.92,1.26
Bulk Carrier,13.67,25.22,4.25,47,71582.19,0.89,1.22
Bulk Carrier,13.68,27.26,2.03,8,63319.5,0.96,1.32
Bulk Carrier,13.7,26.32,2.7,26,63051.58,0.93,1.28
Bulk Carrier,13.71,25.91,3.68,34,66672.32,0.9,1.24
Bulk Carrier,13.72,29.65,7.27,9,84005.33,0.87,1.19
Bulk Carrier,13.75,25.23,3.19,36,67881.83,0.89,1.22
Bulk Carrier,13.76,25.05,8.39,12,58620.17,0.96,1.32
Bulk Carrier,13.79,25.41,5.11,29,60959.28,0.92,1.26
Bulk Carrier,13.8,24.89,6.01,58,69704.22,0.9,1.24
Bulk Carrier,13.83,26.03,3.74,24,64960.33,0.92,1.28
Bulk Carrier,13.84,25.52,4.05,8,61183.46,0.94,1.31
Bulk Carrier,13.88,25.8,3.44,29,70278.0,0.9,1.24
Bulk Carrier,13.9,26.17,6.15,31,69742.45,0.93,1.29
Bulk Carrier,13.92,24.34,3.62,27,59289.52,0.9,1.25
Bulk Carrier,13.96,25.88,5.41,30,70077.53,0.94,1.31
Bulk Carrier,14.0,27.06,5.12,73,70049.36,0.9,1.26
Bulk Carrier,14.04,26.29,4.06,36,60938.92,0.9,1.26
Bulk Carrier,14.08,60.3,159.97,24,67865.33,0.89,1.26
Bulk Carrier,14.1,25.16,2.73,24,59798.29,0.93,1.31
Bulk Carrier,14.13,26.74,3.51,20,64543.55,0.91,1.29
Bulk Carrier,14.17,25.22,2.1,18,62674.94,0.91,1.29
Bulk Carrier,14.2,26.07,3.3,28,61810.81,0.91,1.29
Bulk Carrier,14.21,26.13,4.12,19,69851.0,0.89,1.26
Bulk Carrier,14.25,25.83,2.63,17,66918.76,0.9,1.29
Bulk Carrier,14.29,24.75,1.42,10,57078.6,0.91,1.3
Bulk Carrier,14.3,26.73,5.03,28,65134.54,0.92,1.32
Bulk Carrier,14.33,25.45,2.89,9,62402.22,0.9,1.29
Bulk Carrier,14.38,24.85,2.22,13,63102.54,0.91,1.31
Bulk Carrier,14.4,29.66,7.26,20,79389.7,0.95,1.36
Bulk Carrier,14.42,26.81,3.05,9,61275.22,0.9,1.3
Bulk Carrier,14.46,27.45,2.79,9,58666.33,0.92,1.33
Bulk Carrier,14.5,28.59,8.09,27,81373.63,0.91,1.31
Bulk Carrier,14.54,27.58,4.98,7,61420.57,0.91,1.33
Bulk Carrier,14.58,26.62,4.26,9,62824.11,0.93,1.36
Bulk Carrier,14.6,30.68,7.91,14,77352.14,0.9,1.32
Bulk Carrier,14.63,26.6,4.13,8,60850.38,0.89,1.3
Bulk Carrier,14.67,26.37,3.74,10,67765.4,0.89,1.31
Bulk Carrier,14.7,29.16,4.03,7,68571.43,0.94,1.38
Bulk Carrier,14.71,25.43,3.77,5,55676.2,0.94,1.38
Bulk Carrier,14.75,24.39,9.06,7,51280.86,0.94,1.38
Bulk Carrier,14.79,28.58,4.94,9,66972.22,0.93,1.38
Bulk Carrier,14.8,30.58,7.8,11,82309.55,0.9,1.34
Bulk Carrier,14.9,24.47,6.08,9,48861.11,0.93,1.39
Bulk Carrier,14.96,27.44,1.98,6,43666.67,0.95,1.42
Bulk Carrier,15.04,28.73,3.78,6,48929.17,0.95,1.43
Chemical Tanker,0.0,1.98,2.63,259,49365.97,0.92,0.0
Chemical Tanker,3.0,4.16,2.32,6,49363.0,0.88,0.28
Chemical Tanker,5.0,1.15,2.55,10,49375.6,0.86,0.45
Chemical Tanker,8.5,36.9,16.31,5,103887.4,0.97,0.87
Chemical Tanker,9.0,30.03,24.56,6,94797.0,0.95,0.9
Chemical Tanker,9.5,25.19,25.0,7,78565.14,0.96,0.95
Chemical Tanker,9.8,36.94,25.58,5,90253.6,0.97,1.0
Chemical Tanker,10.0,4.12,7.34,6,49370.33,0.9,0.94
Chemical Tanker,10.5,26.84,22.77,13,84819.38,0.93,1.03
Chemical Tanker,10.8,14.58,22.11,8,81419.75,0.91,1.03
Chemical Tanker,10.88,18.61,2.57,6,49366.67,0.98,1.11
Chemical Tanker,10.96,24.55,15.45,7,85998.71,0.96,1.1
Chemical Tanker,11.0,21.32,15.53,10,75000.2,0.91,1.05
Chemical Tanker,11.08,15.52,7.53,7,49359.86,0.96,1.11
Chemical Tanker,11.1,45.61,26.49,6,220315.0,0.88,1.02
Chemical Tanker,11.17,15.95,7.64,5,49352.6,0.97,1.14
Chemical Tanker,11.2,45.78,20.59,7,195897.0,0.89,1.05
Chemical Tanker,11.25,31.98,22.54,6,134857.67,0.92,1.09
Chemical Tanker,11.29,47.42,20.99,6,220322.67,0.88,1.04
Chemical Tanker,11.3,23.36,20.91,7,85995.86,0.89,1.06
Chemical Tanker,11.33,13.24,8.87,11,49360.09,0.95,1.12
Chemical Tanker,11.38,16.01,7.93,6,49351.0,1.0,1.19
Chemical Tanker,11.4,14.56,8.15,5,49367.0,0.85,1.02
Chemical Tanker,11.5,24.57,12.55,11,72682.27,0.93,1.13
Chemical Tanker,11.54,13.71,9.02,10,49354.8,0.96,1.16
Chemical Tanker,11.58,26.32,14.25,9,77863.67,0.92,1.11
Chemical Tanker,11.63,22.89,22.71,5,100642.6,0.97,1.18
Chemical Tanker,11.71,24.6,18.47,7,86002.43,0.91,1.12
Chemical Tanker,11.75,18.06,7.48,9,49356.11,0.98,1.21
Chemical Tanker,11.79,22.84,12.74,11,72673.91,0.95,1.17
Chemical Tanker,11.8,20.77,17.58,8,81414.0,0.96,1.19
Chemical Tanker,11.83,13.36,9.92,11,49364.09,0.95,1.17
Chemical Tanker,11.88,20.58,4.77,12,49360.33,0.96,1.2
Chemical Tanker,11.92,21.51,5.68,5,49361.4,0.97,1.21
Chemical Tanker,11.96,14.32,8.93,8,49355.0,1.0,1.26
Chemical Tanker,12.0,17.43,6.9,24,49361.58,0.93,1.17
Chemical Tanker,12.04,19.3,6.47,14,49366.57,0.95,1.2
Chemical Tanker,12.08,19.43,3.87,8,49360.75,0.94,1.2
Chemical Tanker,12.1,17.62,2.37,5,49366.6,0.94,1.19
Chemical Tanker,12.12,17.01,9.19,11,49372.82,0.93,1.19
Chemical Tanker,12.13,20.66,6.22,9,49368.78,0.92,1.17
Chemical Tanker,12.16,19.35,2.27,5,49361.8,0.97,1.24
Chemical Tanker,12.17,16.77,7.51,9,49366.11,0.97,1.24
Chemical Tanker,12.21,17.24,5.89,14,49363.0,0.96,1.23
Chemical Tanker,12.25,18.3,6.47,12,49372.0,0.95,1.22
Chemical Tanker,12.29,16.4,7.91,18,49367.67,0.96,1.24
Chemical Tanker,12.3,20.36,9.57,5,49367.0,0.85,1.1
Chemical Tanker,12.32,20.45,4.71,6,49370.0,0.95,1.23
Chemical Tanker,12.33,17.66,8.02,10,49368.6,0.97,1.26
Chemical Tanker,12.36,19.95,3.4,5,49375.4,0.91,1.18
Chemical Tanker,12.38,19.94,2.58,11,49368.27,0.96,1.25
Chemical Tanker,12.42,18.95,5.72,9,49363.89,0.95,1.24
Chemical Tanker,12.46,17.71,10.3,5,49370.6,0.94,1.23
Chemical Tanker,12.5,18.05,8.17,20,49376.8,0.89,1.16
Chemical Tanker,12.54,21.0,3.96,10,49366.4,0.89,1.18
Chemical Tanker,12.58,23.27,5.21,10,49375.4,0.89,1.18
Chemical Tanker,12.6,16.64,6.37,9,49376.78,0.85,1.12
Chemical Tanker,12.63,20.21,4.35,9,49368.78,0.95,1.26
Chemical Tanker,12.64,13.92,10.99,5,49370.6,0.97,1.29
Chemical Tanker,12.67,18.93,6.56,16,49374.75,0.92,1.22
Chemical Tanker,12.71,16.78,8.42,6,49377.67,0.92,1.23
Chemical Tanker,12.75,23.82,3.64,14,49376.43,0.88,1.18
Chemical Tanker,12.76,22.06,1.5,5,49375.4,0.94,1.26
Chemical Tanker,12.79,21.5,5.09,7,49369.57,0.89,1.2
Chemical Tanker,12.8,14.58,7.69,6,49359.0,0.92,1.24
Chemical Tanker,12.83,20.37,6.75,17,49373.24,0.92,1.24
Chemical Tanker,12.88,20.07,2.53,8,49363.5,0.94,1.28
Chemical Tanker,12.92,17.57,7.41,6,49370.67,0.92,1.25
Chemical Tanker,12.96,21.31,7.38,12,49377.83,0.89,1.21
Chemical Tanker,13.0,20.41,4.74,17,49370.53,0.88,1.2
Chemical Tanker,13.04,19.97,5.52,11,49374.45,0.9,1.24
Chemical Tanker,13.08,20.98,3.35,10,49373.2,0.91,1.25
Chemical Tanker,13.13,20.99,5.49,6,49378.0,0.9,1.24
Chemical Tanker,13.2,17.15,10.97,10,49369.0,0.88,1.22
Chemical Tanker,13.21,19.66,11.41,5,49375.4,0.88,1.22
Chemical Tanker,13.25,20.86,3.67,7,49369.57,0.94,1.3
Chemical Tanker,13.5,17.15,4.05,5,49361.8,0.91,1.29
Chemical Tanker,13.54,14.5,6.52,5,49366.6,0.91,1.29
Crude Oil Tanker,9.25,43.36,0.59,5,157327.0,1.0,0.88
Crude Oil Tanker,10.0,31.56,13.53,16,141982.0,0.96,0.91
Crude Oil Tanker,10.5,25.06,12.62,10,129009.6,0.94,0.94
Crude Oil Tanker,10.63,32.32,3.75,5,135651.2,1.0,1.01
Crude Oil Tanker,11.0,27.04,11.24,27,150490.22,0.97,1.01
Crude Oil Tanker,11.04,15.17,16.86,6,125846.83,1.0,1.05
Crude Oil Tanker,11.1,19.83,16.84,6,149989.0,0.98,1.03
Crude Oil Tanker,11.2,25.32,14.79,5,149989.0,1.0,1.06
Crude Oil Tanker,11.3,25.14,14.03,7,149989.0,0.96,1.03
Crude Oil Tanker,11.5,32.38,12.71,9,150190.67,0.97,1.06
Crude Oil Tanker,11.6,19.9,15.54,6,149989.0,0.92,1.02
Crude Oil Tanker,11.7,24.94,14.5,5,150048.0,0.97,1.08
Crude Oil Tanker,11.8,29.0,15.51,10,149989.0,0.97,1.09
Crude Oil Tanker,11.88,31.96,8.39,5,135010.4,0.91,1.03
Crude Oil Tanker,11.9,31.36,13.88,7,149989.0,0.98,1.11
Crude Oil Tanker,12.0,23.01,15.99,10,150077.5,0.92,1.05
Crude Oil Tanker,12.5,24.52,18.73,6,137844.17,0.9,1.07
General Cargo,7.8,10.38,0.61,5,11461.6,1.0,0.86
General Cargo,8.0,13.13,6.27,6,20670.67,1.0,0.88
General Cargo,8.7,11.37,2.41,6,13408.5,1.0,0.96
General Cargo,9.0,9.88,1.91,6,11364.5,1.0,0.99
General Cargo,9.2,11.09,1.96,7,12125.14,1.0,1.01
General Cargo,9.21,8.98,1.36,5,9674.8,1.0,1.01
General Cargo,9.29,8.42,1.48,5,8185.6,1.0,1.02
General Cargo,9.3,10.41,1.4,6,11773.17,1.0,1.02
General Cargo,9.38,9.03,1.72,6,11432.83,1.0,1.03
General Cargo,9.4,9.95,1.36,8,11615.18,0.98,1.01
General Cargo,9.42,8.44,0.9,5,9683.0,1.0,1.04
General Cargo,9.46,10.31,2.75,5,11358.2,0.97,1.01
General Cargo,9.5,10.2,2.61,13,11227.23,0.98,1.02
General Cargo,9.54,8.96,1.82,5,10124.6,1.0,1.05
General Cargo,9.75,9.56,1.41,5,10147.6,1.0,1.07
General Cargo,9.79,12.1,6.59,7,18586.14,1.0,1.08
General Cargo,9.8,10.8,2.22,5,10829.2,1.0,1.08
General Cargo,9.96,12.15,6.4,7,18429.57,1.0,1.1
General Cargo,10.0,9.08,3.26,13,10521.38,0.99,1.09
General Cargo,10.08,12.3,6.28,8,17604.5,1.0,1.11
General Cargo,10.1,10.2,1.52,7,11293.29,0.96,1.06
General Cargo,10.13,8.58,1.29,6,9459.17,0.98,1.09
General Cargo,10.2,10.79,1.16,13,12017.23,1.0,1.12
General Cargo,10.21,11.75,9.13,5,19591.2,1.0,1.12
General Cargo,10.25,13.32,6.97,8,23425.75,1.0,1.13
General Cargo,10.3,10.63,1.05,7,11826.57,1.0,1.13
General Cargo,10.33,12.94,6.84,6,18932.33,1.0,1.14
General Cargo,10.4,9.69,1.85,7,11709.71,0.96,1.09
General Cargo,10.42,16.58,8.86,5,31590.6,1.0,1.15
General Cargo,10.5,10.36,1.48,17,11546.24,0.98,1.13
General Cargo,10.54,9.94,0.81,6,10198.33,1.0,1.16
General Cargo,10.6,10.49,1.24,13,11764.46,1.0,1.17
General Cargo,10.63,9.24,0.91,5,10369.6,0.97,1.13
General Cargo,10.7,10.05,1.6,6,11911.33,1.0,1.18
General Cargo,10.71,7.96,2.37,6,10703.67,1.0,1.18
General Cargo,10.75,12.91,7.93,5,20234.2,1.0,1.18
General Cargo,10.8,11.15,2.57,9,12876.78,1.0,1.19
General Cargo,10.83,13.36,7.01,9,22045.11,0.98,1.17
General Cargo,10.88,15.02,9.13,8,29481.38,0.98,1.17
General Cargo,10.9,11.48,1.54,8,12037.75,1.0,1.2
General Cargo,10.92,13.03,8.61,5,20408.4,0.97,1.17
General Cargo,10.96,11.82,4.97,11,15484.82,1.0,1.21
General Cargo,11.0,11.17,3.6,28,13734.68,1.0,1.21
General Cargo,11.04,11.6,6.72,5,20475.4,1.0,1.21
General Cargo,11.08,14.81,7.26,8,23620.38,1.0,1.22
General Cargo,11.1,11.67,2.2,15,15028.2,1.0,1.22
General Cargo,11.13,16.44,9.17,8,29545.88,1.0,1.22
General Cargo,11.17,10.92,4.87,8,16735.75,1.0,1.23
General Cargo,11.2,11.09,1.61,12,11906.17,0.99,1.22
General Cargo,11.25,13.12,6.25,12,19125.75,0.98,1.21
General Cargo,11.29,12.78,7.25,7,21085.71,0.98,1.22
General Cargo,11.33,14.58,8.13,5,20468.4,1.0,1.25
General Cargo,11.38,14.42,9.05,6,26915.67,1.0,1.25
General Cargo,11.4,11.31,1.4,9,11834.22,1.0,1.25
General Cargo,11.46,12.82,4.2,8,15352.25,0.98,1.24
General Cargo,11.5,13.21,6.35,17,19735.65,0.96,1.22
General Cargo,11.54,15.96,9.29,9,27623.11,0.97,1.23
General Cargo,11.58,12.58,7.69,9,21936.11,0.98,1.25
General Cargo,11.6,11.36,0.65,6,10772.33,1.0,1.28
General Cargo,11.63,14.56,8.32,9,27009.0,0.98,1.26
General Cargo,11.67,13.06,7.4,8,23026.38,1.0,1.28
General Cargo,11.71,18.22,11.81,6,53535.0,1.0,1.29
General Cargo,11.75,21.08,8.27,8,49154.5,1.0,1.29
General Cargo,11.79,17.97,10.29,8,48978.25,1.0,1.3
General Cargo,11.8,14.64,4.04,7,17524.14,1.0,1.3
General Cargo,11.83,14.51,9.64,7,32980.0,1.0,1.3
General Cargo,11.88,16.33,8.7,9,33004.0,0.97,1.26
General Cargo,11.92,19.84,11.59,6,53110.33,0.98,1.28
General Cargo,11.96,18.34,7.53,5,35045.4,1.0,1.32
General Cargo,12.0,15.53,7.03,10,26231.8,0.97,1.28
General Cargo,12.04,12.88,8.85,6,36354.5,1.0,1.32
General Cargo,12.08,14.18,7.48,6,27176.33,0.92,1.23
General Cargo,12.29,14.48,6.02,5,21033.2,0.97,1.31
General Cargo,12.33,20.38,9.32,7,39374.0,1.0,1.36
General Cargo,12.38,22.49,5.9,11,44101.0,1.0,1.36
General Cargo,12.42,22.12,7.09,5,51331.2,1.0,1.37
General Cargo,12.46,23.0,4.99,8,49186.25,1.0,1.37
General Cargo,12.5,16.93,11.57,9,50162.22,0.97,1.33
General Cargo,12.54,20.37,9.54,8,42482.12,0.96,1.33
General Cargo,12.58,24.44,3.48,5,52143.6,1.0,1.38
General Cargo,12.63,24.66,7.07,6,53284.83,0.98,1.35
General Cargo,12.67,16.09,7.84,5,30826.2,0.94,1.31
General Cargo,12.71,20.42,8.34,8,43029.25,0.98,1.37
General Cargo,12.75,20.93,7.59,5,51568.4,0.97,1.36
General Cargo,12.83,19.63,8.03,6,36289.67,1.0,1.41
General Cargo,12.96,20.48,9.11,6,40418.67,1.0,1.43
General Cargo,13.0,20.52,9.01,9,53319.89,0.98,1.41
General Cargo,13.04,24.28,6.1,6,53099.67,0.95,1.36
General Cargo,13.08,24.86,3.23,5,56553.6,0.94,1.35
General Cargo,13.25,21.73,6.73,7,47299.29,1.0,1.46
General Cargo,13.29,23.87,2.69,5,61942.0,0.97,1.42
General Cargo,13.33,22.94,5.15,6,45333.83,0.98,1.43
General Cargo,13.38,22.29,8.46,5,41770.0,0.94,1.38
General Cargo,13.5,23.7,4.84,6,53499.17,0.98,1.45
General Cargo,13.63,26.73,0.97,5,61942.0,0.94,1.41
General Cargo,13.67,27.75,1.66,5,61942.0,0.91,1.37
General Cargo,13.71,26.69,0.68,5,61942.0,0.97,1.46
General Cargo,13.75,21.84,6.19,6,53099.67,0.98,1.47
General Cargo,13.88,26.91,2.29,5,61942.0,0.91,1.39
Open Hatch Cargo,9.3,24.01,4.23,5,62495.0,0.97,0.97
Open Hatch Cargo,9.5,21.05,3.85,6,63905.0,1.0,1.03
Open Hatch Cargo,9.8,22.27,4.52,9,60416.67,0.98,1.04
Open Hatch Cargo,9.9,24.55,4.31,5,63689.4,1.0,1.07
Open Hatch Cargo,10.0,19.75,1.34,6,59650.17,1.0,1.08
Open Hatch Cargo,10.3,24.26,3.14,8,63058.0,1.0,1.11
Open Hatch Cargo,10.5,22.43,7.18,14,60804.14,0.99,1.12
Open Hatch Cargo,10.6,20.17,5.87,7,64463.86,0.98,1.12
Open Hatch Cargo,10.7,24.58,3.28,6,63448.17,1.0,1.16
Open Hatch Cargo,10.75,22.98,4.33,9,60604.56,0.98,1.14
Open Hatch Cargo,10.8,23.06,3.62,9,63934.44,0.98,1.15
Open Hatch Cargo,10.83,26.73,1.61,8,62998.5,0.98,1.15
Open Hatch Cargo,10.88,23.47,2.79,6,62350.17,0.98,1.15
Open Hatch Cargo,10.9,22.95,4.33,7,64460.14,1.0,1.18
Open Hatch Cargo,10.92,22.19,5.5,9,56803.56,0.98,1.16
Open Hatch Cargo,10.96,24.76,4.16,12,60181.83,0.99,1.17
Open Hatch Cargo,11.0,23.6,3.57,18,61972.89,0.98,1.17
Open Hatch Cargo,11.04,22.89,4.77,8,60203.38,0.98,1.17
Open Hatch Cargo,11.08,24.73,2.68,10,63048.6,0.97,1.16
Open Hatch Cargo,11.1,23.44,6.71,16,62735.12,0.96,1.15
Open Hatch Cargo,11.13,25.15,4.57,9,60011.22,0.98,1.18
Open Hatch Cargo,11.17,25.08,3.28,10,61646.1,0.98,1.19
Open Hatch Cargo,11.2,22.16,4.56,13,62239.92,0.98,1.18
Open Hatch Cargo,11.21,17.85,12.54,7,63235.86,0.98,1.18
Open Hatch Cargo,11.25,24.44,4.51,13,58363.92,0.97,1.17
Open Hatch Cargo,11.29,26.18,3.46,8,62331.62,0.96,1.17
Open Hatch Cargo,11.3,23.85,4.13,12,63419.25,0.98,1.19
Open Hatch Cargo,11.33,20.93,5.16,6,53736.5,1.0,1.22
Open Hatch Cargo,11.38,25.69,4.28,9,59366.22,1.0,1.23
Open Hatch Cargo,11.4,23.07,4.25,11,64096.45,0.97,1.2
Open Hatch Cargo,11.42,26.03,3.27,13,62321.46,0.99,1.22
Open Hatch Cargo,11.46,25.57,3.0,5,64243.8,1.0,1.24
Open Hatch Cargo,11.5,24.49,4.9,36,62531.92,0.98,1.21
Open Hatch Cargo,11.54,26.61,1.61,12,63104.33,0.99,1.23
Open Hatch Cargo,11.58,25.8,1.87,10,62492.5,0.97,1.21
Open Hatch Cargo,11.6,23.52,3.51,22,64116.14,0.98,1.23
Open Hatch Cargo,11.63,24.36,3.87,8,62976.88,0.96,1.21
Open Hatch Cargo,11.67,27.02,1.01,13,62642.77,0.99,1.25
Open Hatch Cargo,11.7,24.72,3.19,25,63493.76,0.98,1.24
Open Hatch Cargo,11.71,26.0,2.88,10,63618.8,0.98,1.25
Open Hatch Cargo,11.75,25.28,3.97,13,60412.38,0.98,1.24
Open Hatch Cargo,11.79,25.58,2.71,14,61871.86,1.0,1.27
Open Hatch Cargo,11.8,23.78,3.58,26,63327.62,0.98,1.25
Open Hatch Cargo,11.83,25.96,1.47,9,63829.78,0.98,1.26
Open Hatch Cargo,11.88,19.5,11.05,10,61176.8,0.97,1.24
Open Hatch Cargo,11.9,25.36,2.94,19,63711.47,0.98,1.26
Open Hatch Cargo,11.92,26.43,2.76,15,63078.27,0.99,1.27
Open Hatch Cargo,12.0,24.75,3.66,52,63263.04,0.99,1.28
Open Hatch Cargo,12.04,26.62,2.41,25,62914.28,0.99,1.29
Open Hatch Cargo,12.08,25.26,3.52,15,63471.8,0.97,1.27
Open Hatch Cargo,12.1,24.67,3.34,26,63669.62,0.98,1.28
Open Hatch Cargo,12.13,25.68,2.64,15,63031.33,0.98,1.28
Open Hatch Cargo,12.17,25.76,2.61,20,62706.4,0.98,1.29
Open Hatch Cargo,12.2,25.07,3.54,37,63589.19,0.96,1.27
Open Hatch Cargo,12.21,25.34,2.55,10,62145.0,0.98,1.3
Open Hatch Cargo,12.25,25.59,2.82,21,62381.62,0.98,1.29
Open Hatch Cargo,12.29,24.93,3.41,9,62892.67,0.97,1.28
Open Hatch Cargo,12.3,23.96,3.73,37,63322.16,0.98,1.3
Open Hatch Cargo,12.33,26.17,1.5,18,62699.83,0.98,1.3
Open Hatch Cargo,12.38,26.19,2.53,24,62886.79,0.99,1.32
Open Hatch Cargo,12.4,25.37,2.84,32,63285.78,0.97,1.3
Open Hatch Cargo,12.42,25.92,2.38,13,62536.69,1.0,1.34
Open Hatch Cargo,12.46,26.0,2.04,10,63301.7,1.0,1.35
Open Hatch Cargo,12.48,25.42,3.35,7,64014.14,0.98,1.32
Open Hatch Cargo,12.5,24.15,3.07,57,62949.33,0.97,1.31
Open Hatch Cargo,12.54,26.44,1.58,23,62718.61,0.97,1.32
Open Hatch Cargo,12.58,27.06,2.63,14,63629.43,0.99,1.34
Open Hatch Cargo,12.6,24.25,3.41,37,63361.38,0.98,1.33
Open Hatch Cargo,12.63,25.68,2.43,23,63307.61,0.96,1.31
Open Hatch Cargo,12.67,25.14,2.77,24,63261.54,0.99,1.35
Open Hatch Cargo,12.7,24.84,3.74,38,63118.66,0.98,1.34
Open Hatch Cargo,12.71,26.37,1.76,12,62554.75,0.98,1.34
Open Hatch Cargo,12.75,25.65,2.59,29,62436.97,0.97,1.34
Open Hatch Cargo,12.79,26.62,1.94,23,62812.26,0.97,1.34
Open Hatch Cargo,12.8,25.17,2.53,43,63258.79,0.97,1.33
Open Hatch Cargo,12.83,25.76,2.22,25,63340.88,0.96,1.33
Open Hatch Cargo,12.84,25.07,2.39,5,61988.6,0.94,1.3
