船舶类型_标准化,平均速度(kts),重油IFO(mt)_mean,重油IFO(mt)_std,重油IFO(mt)_count,船舶载重(t)_mean,载重状态系数_mean,综合效率指标_mean
Bulk Carrier,8.8,19.57,8.88,54,60148.72,0.98,0.87
Bulk Carrier,8.83,37.02,111.62,59,67365.97,0.99,0.87
Bulk Carrier,8.84,19.97,11.18,5,75911.8,0.97,0.86
Bulk Carrier,8.88,22.35,9.18,56,76126.57,0.99,0.88
Bulk Carrier,8.9,22.18,9.63,31,71125.81,0.98,0.87
Bulk Carrier,8.92,23.6,4.8,40,67577.68,0.98,0.88
Bulk Carrier,8.96,22.24,8.77,60,71653.11,0.99,0.89
Bulk Carrier,9.0,21.5,7.91,116,66889.57,0.98,0.89
Bulk Carrier,9.02,20.02,11.26,5,78868.0,1.0,0.9
Bulk Carrier,9.04,21.74,5.96,60,68785.47,0.99,0.89
Bulk Carrier,9.08,21.43,8.44,76,71118.11,0.99,0.9
Bulk Carrier,9.1,19.14,9.66,46,63754.76,0.97,0.89
Bulk Carrier,9.12,19.94,9.32,13,68949.62,0.99,0.9
Bulk Carrier,9.13,23.06,6.6,80,71790.34,0.98,0.9
Bulk Carrier,9.15,26.42,2.15,5,74689.0,1.0,0.92
Bulk Carrier,9.16,25.06,2.08,6,76952.17,0.95,0.87
Bulk Carrier,9.17,23.36,6.78,82,72604.61,0.99,0.91
Bulk Carrier,9.2,21.64,7.24,62,64759.18,0.98,0.9
Bulk Carrier,9.21,21.54,8.02,77,69490.08,0.99,0.92
Bulk Carrier,9.25,22.17,7.54,78,70279.13,0.98,0.91
Bulk Carrier,9.27,28.35,5.28,5,71552.8,0.97,0.9
Bulk Carrier,9.28,20.64,10.4,6,69918.83,0.95,0.88
Bulk Carrier,9.29,22.0,9.66,62,77296.37,0.99,0.92
Bulk Carrier,9.3,22.02,8.91,56,70390.89,0.98,0.91
Bulk Carrier,9.32,24.27,2.94,11,72617.26,1.0,0.93
Bulk Carrier,9.33,21.22,8.99,74,72511.38,1.0,0.93
Bulk Carrier,9.36,25.95,2.2,8,70379.12,1.0,0.94
Bulk Carrier,9.37,25.34,2.99,7,67002.57,1.0,0.94
Bulk Carrier,9.38,22.86,8.17,83,74984.56,0.99,0.92
Bulk Carrier,9.4,20.19,9.72,71,63643.22,0.98,0.92
Bulk Carrier,9.42,22.49,7.6,101,72359.45,0.99,0.93
Bulk Carrier,9.44,21.67,8.56,11,66248.27,0.97,0.92
Bulk Carrier,9.46,21.18,8.61,85,71500.18,0.99,0.94
Bulk Carrier,9.48,20.69,10.41,6,65446.0,0.92,0.88
Bulk Carrier,9.5,22.0,9.38,174,73755.28,0.98,0.93
Bulk Carrier,9.52,25.95,5.51,16,80817.75,0.95,0.91
Bulk Carrier,9.53,19.34,10.88,5,73743.2,1.0,0.95
Bulk Carrier,9.54,22.03,7.83,97,73698.82,0.99,0.95
Bulk Carrier,9.55,18.71,10.58,5,72614.8,0.97,0.93
Bulk Carrier,9.56,23.43,3.6,15,65959.53,0.97,0.93
Bulk Carrier,9.58,22.09,6.67,108,67845.84,0.98,0.94
Bulk Carrier,9.6,21.45,8.29,74,68458.62,0.98,0.94
Bulk Carrier,9.62,23.3,1.43,7,74394.29,0.98,0.94
Bulk Carrier,9.63,22.27,6.85,90,70432.14,0.98,0.94
Bulk Carrier,9.64,20.44,9.44,7,71329.0,0.98,0.94
Bulk Carrier,9.66,21.44,9.21,8,67222.88,1.0,0.97
Bulk Carrier,9.67,22.02,6.27,96,67581.34,0.99,0.95
Bulk Carrier,9.68,18.96,10.42,10,65841.9,0.97,0.94
Bulk Carrier,9.7,22.61,8.15,67,74010.46,0.99,0.96
Bulk Carrier,9.71,23.33,6.44,111,72759.77,0.98,0.95
Bulk Carrier,9.72,22.9,8.57,12,72932.83,0.92,0.9
Bulk Carrier,9.74,25.11,2.82,5,74068.2,0.97,0.94
Bulk Carrier,9.75,22.34,7.23,124,70325.13,0.98,0.96
Bulk Carrier,9.76,24.34,11.07,9,81707.78,0.98,0.96
Bulk Carrier,9.77,20.24,11.52,5,78821.2,0.91,0.89
Bulk Carrier,9.78,16.01,11.37,7,62795.86,0.96,0.94
Bulk Carrier,9.79,21.71,7.92,96,69947.92,0.99,0.97
Bulk Carrier,9.8,23.76,6.92,118,72096.07,0.98,0.96
Bulk Carrier,9.81,24.98,2.03,6,74252.33,0.98,0.96
